Date,Time,Current Temperature,Average Temperature,Maximum Temperature,Minimum Temperature,Radiation,Rainfall
2020-01-01,1:00:00,-4.4,-3.8,-3.2,-4.4,0,0
2020-01-01,2:00:00,-4.1,-4.4,-4,-4.8,0,0
2020-01-01,3:00:00,-5,-4.6,-4.1,-5,0,0
2020-01-01,4:00:00,-4.8,-5,-4.8,-5.2,0,0
2020-01-01,5:00:00,-5.5,-5.3,-4.7,-5.9,0,0
2020-01-01,6:00:00,-4.1,-4.7,-3.9,-5.6,0,0
2020-01-01,7:00:00,-3.9,-3.9,-3.6,-4.2,0,0
2020-01-01,8:00:00,-4,-4,-3.6,-4.3,0,0
2020-01-01,9:00:00,-3.7,-3.7,-3.2,-4.1,0,0
2020-01-01,10:00:00,-4.2,-4,-3.5,-4.4,2.9,0
2020-01-01,11:00:00,-2.2,-3.5,-2.1,-4.2,23.6,0
2020-01-01,12:00:00,-0.4,-1.3,-0.4,-2.2,43.2,0
2020-01-01,13:00:00,0.7,0.3,0.7,-0.4,100.7,0
2020-01-01,14:00:00,1.5,1.2,1.6,0.7,133.3,0
2020-01-01,15:00:00,0.7,1.2,1.6,0.7,101.3,0
2020-01-01,16:00:00,0.9,0.7,0.9,0.5,82.4,0
2020-01-01,17:00:00,-1.1,0.2,0.9,-1.1,51.2,0
2020-01-01,18:00:00,-2.3,-2,-1.1,-2.4,10.2,0
2020-01-01,19:00:00,-2.1,-1.1,0.7,-2.7,0,0
2020-01-01,20:00:00,-2.2,-1.9,-1,-2.4,0,0
2020-01-01,21:00:00,-2,-1.9,-1.3,-2.3,0,0
2020-01-01,22:00:00,3.4,0.8,3.5,-2.2,0,0
2020-01-01,23:00:00,3.7,3.5,3.8,3.3,0,0
2020-01-01,0:00:00,2.9,3.4,3.8,2.8,0,0
2020-01-02,1:00:00,1.4,2.5,2.9,1.4,0,0
2020-01-02,2:00:00,1.2,1.1,1.4,0.9,0,0
2020-01-02,3:00:00,1.5,1.3,1.7,0.8,0,0
2020-01-02,4:00:00,2,1.9,2.4,1.2,0,0
2020-01-02,5:00:00,1.6,2,2.4,1.5,0,0
2020-01-02,6:00:00,1.3,1.5,1.9,1.2,0,0
2020-01-02,7:00:00,-2,-0.2,1.3,-2,0,0
2020-01-02,8:00:00,-1.1,-1.5,-1,-2.2,0,0
2020-01-02,9:00:00,-1.2,-1.3,-1,-1.7,0,0
2020-01-02,10:00:00,-1.9,-1.5,-1,-2,3.6,0
2020-01-02,11:00:00,-3,-2.4,-1.9,-3,16.4,0
2020-01-02,12:00:00,-2.2,-2.9,-2.1,-3.3,69.3,0
2020-01-02,13:00:00,-2.4,-2.3,-2,-2.5,174.1,0
2020-01-02,14:00:00,-3.6,-3.2,-2.3,-3.8,94.3,0
2020-01-02,15:00:00,-4.5,-3.9,-3.2,-4.5,74.6,0.3
2020-01-02,16:00:00,-4.6,-4.4,-4.2,-4.7,46.7,0
2020-01-02,17:00:00,-7.2,-5.3,-4.6,-7.2,22.8,0
2020-01-02,18:00:00,-8.7,-7.6,-6.5,-8.8,5.6,0
2020-01-02,19:00:00,-7.8,-8.5,-7.2,-9.4,0,0
2020-01-02,20:00:00,-7.3,-7.2,-6.7,-7.8,0,0
2020-01-02,21:00:00,-6.1,-6.4,-5.5,-7.6,0,0
2020-01-02,22:00:00,-4.3,-5.3,-4.3,-6.3,0,0
2020-01-02,23:00:00,-4.2,-4.4,-4,-4.9,0,0
2020-01-02,0:00:00,-4,-4,-3.8,-4.2,0,0
2020-01-03,1:00:00,-4.1,-4.1,-4,-4.2,0,0
2020-01-03,2:00:00,-4.4,-4.2,-3.9,-4.5,0,0
2020-01-03,3:00:00,-4.3,-4.3,-4.1,-4.7,0,0
2020-01-03,4:00:00,-5.4,-4.6,-4.2,-5.4,0,0
2020-01-03,5:00:00,-7.2,-6.4,-5.4,-7.2,0,0
2020-01-03,6:00:00,-8.9,-8.3,-7.3,-8.9,0,0
2020-01-03,7:00:00,-9.6,-9.4,-8.9,-9.8,0,0
2020-01-03,8:00:00,-9.1,-8.7,-8,-9.6,0,0
2020-01-03,9:00:00,-10.1,-9.9,-9.1,-10.3,0,0
2020-01-03,10:00:00,-9.2,-10,-9.2,-10.7,3.5,0
2020-01-03,11:00:00,-4.9,-8.2,-4.9,-9.2,23.3,0
2020-01-03,12:00:00,5.4,2.1,5.7,-4.9,74,0.3
2020-01-03,13:00:00,6.6,6.2,6.7,5.2,168.1,0.3
2020-01-03,14:00:00,7.7,7.2,7.8,6.6,145.6,0
2020-01-03,15:00:00,7.7,7.6,7.9,7.3,67.6,0.1
2020-01-03,16:00:00,7.5,7.5,7.8,7.2,24.2,0.3
2020-01-03,17:00:00,8.1,7.9,8.1,7.5,33.4,1.2
2020-01-03,18:00:00,8.2,8.1,8.3,7.8,6.2,1.2
2020-01-03,19:00:00,8.3,8.3,8.5,7.9,0,2.6
2020-01-03,20:00:00,8.8,8.6,9,8.3,0,2
2020-01-03,21:00:00,8.2,8.3,8.8,7.9,0,4.2
2020-01-03,22:00:00,8.1,8.1,8.4,7.8,0,0.8
2020-01-03,23:00:00,7.5,7.9,8.3,7.3,0,0
2020-01-03,0:00:00,7.4,7.7,8.2,7.2,0,0.4
2020-01-04,1:00:00,6.8,7.3,7.7,6.8,0,0.5
2020-01-04,2:00:00,6.5,6.8,7.1,6.4,0,0.7
2020-01-04,3:00:00,6.2,6.5,6.8,6.2,0,0.2
2020-01-04,4:00:00,5.5,5.8,6.4,5.4,0,0
2020-01-04,5:00:00,4.3,5.1,5.5,4.2,0,0
2020-01-04,6:00:00,4.1,4.3,4.7,3.6,0,0
2020-01-04,7:00:00,3.9,4,4.3,3.5,0,0
2020-01-04,8:00:00,3.2,3.5,3.9,3.1,0,0
2020-01-04,9:00:00,2.7,3.1,3.5,2.7,0,0
2020-01-04,10:00:00,1.8,2.1,2.8,1.7,2.1,0
2020-01-04,11:00:00,0.9,1.1,1.8,0.9,15.4,0
2020-01-04,12:00:00,0.6,0.7,0.9,0.4,18.8,0
2020-01-04,13:00:00,0.8,1,1.7,0.3,52.3,0
2020-01-04,14:00:00,1.1,0.5,1.1,-0.1,78.3,0
2020-01-04,15:00:00,-2.3,-0.4,1.4,-2.3,35.4,0
2020-01-04,16:00:00,-2.1,-1.9,-1.6,-2.4,26.2,0
2020-01-04,17:00:00,-3.2,-2.4,-2,-3.2,16.2,0
2020-01-04,18:00:00,-4,-3.9,-3.2,-4.3,2.1,0
2020-01-04,19:00:00,-2.9,-3.5,-2.9,-4.1,0,0
2020-01-04,20:00:00,-2.8,-2.6,-2.4,-2.9,0,0
2020-01-04,21:00:00,-2.3,-2.4,-2.2,-2.8,0,0
2020-01-04,22:00:00,-2.8,-2.5,-2.3,-2.8,0,0
2020-01-04,23:00:00,-2.3,-2.6,-2.2,-2.8,0,0
