z6B01544,Port1,,,Port2,,,Port3,,,Port7,
# Records: 3369,TEROS 12 Moisture/Temp/EC,,,TEROS 12 Moisture/Temp/EC,,,TEROS 12 Moisture/Temp/EC,,,Battery,
Timestamps, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC,% Battery Percent, mV Battery Voltage
,,,,,,,,,,,
2022-05-25 19:45:00,0.088,10.4,#N/A,0.222,9.6,0.136,0.386,8,0.639,100,10433
2022-05-25 20:45:00,0.172,6.3,0.301,0.223,5.6,0.155,0.386,5.1,0.7,100,10463
2022-05-25 21:45:00,0.173,6.1,0.308,0.222,4.9,0.162,0.386,4.4,0.716,100,10480
2022-05-25 22:45:00,0.173,6.1,0.315,0.222,4.7,0.164,0.386,4.1,0.724,100,10474
2022-05-25 23:45:00,0.173,6,0.316,0.222,4.6,0.166,0.386,3.9,0.73,100,10472
2022-05-26 00:45:00,0.173,6,0.319,0.221,4.5,0.168,0.386,3.8,0.735,100,10474
2022-05-26 01:45:00,0.173,6,0.319,0.221,4.5,0.168,0.386,3.8,0.743,100,10472
2022-05-26 02:45:00,0.173,5.9,0.319,0.221,4.5,0.17,0.385,3.8,0.747,100,10452
2022-05-26 03:45:00,0.173,5.8,0.322,0.221,4.5,0.169,0.385,3.8,0.749,100,10436
2022-05-26 04:45:00,0.172,5.6,0.324,0.221,4.4,0.169,0.385,3.8,0.751,100,10417
2022-05-26 05:45:00,0.172,5.5,0.322,0.221,4.4,0.17,0.385,3.8,0.754,100,10404
2022-05-26 06:45:00,0.172,5.3,0.324,0.221,4.4,0.17,0.385,3.8,0.756,100,10384
2022-05-26 07:45:00,0.172,5.1,0.322,0.221,4.3,0.17,0.385,3.8,0.756,100,10375
2022-05-26 08:45:00,0.172,4.9,0.323,0.221,4.2,0.172,0.385,3.8,0.758,100,10358
2022-05-26 09:45:00,0.172,4.7,0.325,0.221,4.2,0.171,0.385,3.7,0.76,100,10349
2022-05-26 10:45:00,0.172,4.6,0.325,0.221,4.1,0.171,0.385,3.7,0.76,100,10333
2022-05-26 11:45:00,0.172,4.4,0.325,0.221,4,0.171,0.385,3.7,0.759,100,10322
2022-05-26 12:45:00,0.172,4.3,0.325,0.221,3.9,0.172,0.385,3.7,0.758,100,10330
2022-05-26 13:45:00,0.172,4.2,0.323,0.221,3.8,0.172,0.386,3.6,0.76,100,10338
2022-05-26 14:45:00,0.172,4.1,0.322,0.221,3.8,0.172,0.386,3.6,0.761,100,10332
2022-05-26 15:45:00,0.172,4.1,0.324,0.221,3.7,0.172,0.386,3.6,0.761,100,10337
2022-05-26 16:45:00,0.172,4,0.325,0.221,3.6,0.171,0.386,3.5,0.76,100,10355
2022-05-26 17:45:00,0.172,4.1,0.323,0.221,3.6,0.17,0.385,3.5,0.758,100,10377
2022-05-26 18:45:00,0.172,4.2,0.322,0.221,3.6,0.17,0.385,3.5,0.759,100,10397
2022-05-26 19:45:00,0.172,4.3,0.323,0.221,3.6,0.17,0.385,3.4,0.758,100,10432
2022-05-26 20:45:00,0.172,4.5,0.324,0.22,3.6,0.17,0.385,3.4,0.761,100,10479
2022-05-26 21:45:00,0.171,5,0.322,0.22,3.7,0.169,0.384,3.4,0.758,100,10510
2022-05-26 22:45:00,0.171,5.3,0.321,0.219,3.8,0.169,0.384,3.4,0.759,100,10511
2022-05-26 23:45:00,0.171,5.6,0.319,0.219,3.9,0.168,0.383,3.5,0.76,100,10505
2022-05-27 00:45:00,0.171,5.6,0.319,0.218,4,0.169,0.383,3.5,0.758,100,10509
2022-05-27 01:45:00,0.171,5.7,0.32,0.218,4.2,0.168,0.383,3.6,0.76,100,10489
2022-05-27 02:45:00,0.171,5.7,0.319,0.218,4.2,0.169,0.383,3.6,0.759,100,10483
2022-05-27 03:45:00,0.171,5.6,0.319,0.217,4.3,0.168,0.383,3.7,0.761,100,10465
2022-05-27 04:45:00,0.171,5.6,0.319,0.217,4.4,0.169,0.382,3.7,0.759,100,10450
2022-05-27 05:45:00,0.171,5.5,0.32,0.217,4.4,0.169,0.382,3.8,0.757,100,10437
2022-05-27 06:45:00,0.171,5.3,0.319,0.217,4.4,0.168,0.382,3.8,0.759,100,10414
2022-05-27 07:45:00,0.171,5.2,0.322,0.217,4.4,0.169,0.382,3.8,0.761,100,10404
2022-05-27 08:45:00,0.171,5.1,0.321,0.217,4.3,0.168,0.383,3.8,0.759,100,10392
2022-05-27 09:45:00,0.171,5,0.321,0.218,4.3,0.167,0.383,3.8,0.759,100,10390
2022-05-27 10:45:00,0.171,5,0.322,0.218,4.3,0.168,0.383,3.8,0.759,100,10377
2022-05-27 11:45:00,0.171,4.9,0.322,0.218,4.2,0.168,0.383,3.8,0.757,100,10361
2022-05-27 12:45:00,0.171,4.8,0.32,0.218,4.2,0.167,0.383,3.8,0.757,100,10361
2022-05-27 13:45:00,0.171,4.7,0.323,0.218,4.1,0.168,0.383,3.8,0.757,100,10356
2022-05-27 14:45:00,0.171,4.7,0.323,0.218,4.1,0.167,0.383,3.8,0.755,100,10365
2022-05-27 15:45:00,0.171,4.7,0.323,0.218,4.1,0.167,0.383,3.8,0.757,100,10393
2022-05-27 16:45:00,0.17,4.8,0.322,0.218,4,0.168,0.382,3.8,0.756,100,10438
2022-05-27 17:45:00,0.17,5,0.321,0.217,4.1,0.167,0.382,3.8,0.755,100,10468
2022-05-27 18:45:00,0.17,5.3,0.322,0.217,4.1,0.167,0.382,3.8,0.756,100,10494
2022-05-27 19:45:00,0.17,5.7,0.318,0.216,4.2,0.166,0.381,3.8,0.757,100,10506
2022-05-27 20:45:00,0.17,6,0.319,0.216,4.3,0.167,0.381,3.8,0.756,100,10508
2022-05-27 21:45:00,0.17,6.3,0.319,0.215,4.5,0.167,0.38,3.8,0.755,100,10494
2022-05-27 22:45:00,0.169,6.5,0.319,0.215,4.6,0.166,0.38,3.9,0.756,100,10494
2022-05-27 23:45:00,0.169,6.6,0.316,0.214,4.8,0.165,0.38,4,0.757,100,10490
2022-05-28 00:45:00,0.169,6.6,0.318,0.214,4.8,0.166,0.379,4,0.755,100,10480
2022-05-28 01:45:00,0.169,6.6,0.317,0.213,4.9,0.166,0.379,4.1,0.756,100,10455
2022-05-28 02:45:00,0.169,6.5,0.319,0.213,5,0.165,0.379,4.2,0.755,100,10442
2022-05-28 03:45:00,0.169,6.4,0.319,0.213,5,0.165,0.379,4.2,0.755,100,10420
2022-05-28 04:45:00,0.169,6.3,0.32,0.213,5,0.167,0.379,4.3,0.757,100,10403
2022-05-28 05:45:00,0.169,6.2,0.319,0.213,5,0.167,0.379,4.3,0.759,100,10380
2022-05-28 06:45:00,0.169,6,0.318,0.213,5,0.165,0.379,4.3,0.757,100,10362
2022-05-28 07:45:00,0.169,5.8,0.318,0.213,5,0.165,0.379,4.3,0.757,100,10359
2022-05-28 08:45:00,0.169,5.7,0.318,0.214,4.9,0.165,0.379,4.3,0.757,100,10356
2022-05-28 09:45:00,0.169,5.5,0.321,0.214,4.8,0.165,0.379,4.3,0.757,100,10340
2022-05-28 10:45:00,0.169,5.4,0.321,0.214,4.8,0.165,0.379,4.3,0.755,100,10335
2022-05-28 11:45:00,0.169,5.2,0.321,0.214,4.7,0.164,0.379,4.3,0.753,100,10332
2022-05-28 12:45:00,0.169,5,0.321,0.214,4.6,0.165,0.379,4.3,0.753,100,10313
2022-05-28 13:45:00,0.169,4.9,0.32,0.214,4.5,0.165,0.379,4.2,0.753,100,10308
2022-05-28 14:45:00,0.169,4.7,0.321,0.214,4.4,0.165,0.379,4.2,0.751,100,10306
2022-05-28 15:45:00,0.169,4.6,0.321,0.214,4.4,0.165,0.379,4.2,0.752,100,10351
2022-05-28 16:45:00,0.169,4.8,0.32,0.214,4.3,0.164,0.379,4.1,0.753,100,10382
2022-05-28 17:45:00,0.169,4.9,0.319,0.213,4.3,0.163,0.378,4.1,0.752,100,10415
2022-05-28 18:45:00,0.169,5.1,0.321,0.213,4.3,0.164,0.378,4.1,0.751,100,10441
2022-05-28 19:45:00,0.169,5.4,0.32,0.212,4.3,0.163,0.378,4,0.751,100,10452
2022-05-28 20:45:00,0.168,5.8,0.32,0.212,4.4,0.163,0.377,4.1,0.75,100,10465
2022-05-28 21:45:00,0.168,6,0.315,0.211,4.6,0.163,0.377,4.1,0.749,100,10478
